source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences
GO:BP,GO:0006953,acute-phase response,6.304018838029716e-10,True,"""An acute inflammatory response that involves non-antibody proteins whose concentrations in the plasma increase in response to infection or injury of homeothermic animals."" [ISBN:0198506732]",38,44,7,24936,0.1590909090909091,0.18421052631578946,query_1,['GO:0002526'],"['ENSMUSG00000040026', 'ENSMUSG00000057465', 'ENSMUSG00000016024', 'ENSMUSG00000021922', 'ENSMUSG00000031722', 'ENSMUSG00000039196', 'ENSMUSG00000074115']","[['IEA'], ['IEA'], ['IMP', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA']]"
GO:CC,GO:0005615,extracellular space,1.458544954673714e-07,True,"""That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid."" [ISBN:0198547684]",1136,46,15,25413,0.32608695652173914,0.013204225352112676,query_1,"['GO:0005576', 'GO:0110165']","['ENSMUSG00000032561', 'ENSMUSG00000040026', 'ENSMUSG00000057465', 'ENSMUSG00000016024', 'ENSMUSG00000021922', 'ENSMUSG00000037035', 'ENSMUSG00000031722', 'ENSMUSG00000030341', 'ENSMUSG00000039196', 'ENSMUSG00000074115', 'ENSMUSG00000026822', 'ENSMUSG00000037095', 'ENSMUSG00000030111', 'ENSMUSG00000030895', 'ENSMUSG00000021091']","[['ISS', 'IEA'], ['IDA', 'IEA'], ['IEA'], ['IDA', 'IEA'], ['IEA'], ['HDA', 'IEA'], ['HDA', 'ISO'], ['IEA'], ['IEA'], ['IDA', 'IEA'], ['IDA', 'HDA', 'ISS'], ['IDA', 'ISO', 'IEA'], ['IEA'], ['ISO', 'IEA'], ['IEA']]"
GO:BP,GO:0002526,acute inflammatory response,2.3193374398521513e-07,True,"""Inflammation which comprises a rapid, short-lived, relatively uniform response to acute injury or antigenic challenge and is characterized by accumulations of fluid, plasma proteins, and granulocytic leukocytes. An acute inflammatory response occurs within a matter of minutes or hours, and either resolves within a few days or becomes a chronic inflammatory response."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",85,44,7,24936,0.1590909090909091,0.08235294117647059,query_1,['GO:0006954'],"['ENSMUSG00000040026', 'ENSMUSG00000057465', 'ENSMUSG00000016024', 'ENSMUSG00000021922', 'ENSMUSG00000031722', 'ENSMUSG00000039196', 'ENSMUSG00000074115']","[['IEA'], ['IEA'], ['IMP', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA']]"
GO:CC,GO:0005576,extracellular region,9.715032150593608e-06,True,"""The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."" [GOC:go_curators]",2340,46,18,25413,0.391304347826087,0.007692307692307693,query_1,['GO:0110165'],"['ENSMUSG00000032561', 'ENSMUSG00000040026', 'ENSMUSG00000057465', 'ENSMUSG00000016024', 'ENSMUSG00000006522', 'ENSMUSG00000021922', 'ENSMUSG00000037035', 'ENSMUSG00000031722', 'ENSMUSG00000030341', 'ENSMUSG00000039196', 'ENSMUSG00000074115', 'ENSMUSG00000026822', 'ENSMUSG00000037095', 'ENSMUSG00000036904', 'ENSMUSG00000030111', 'ENSMUSG00000006014', 'ENSMUSG00000030895', 'ENSMUSG00000021091']","[['ISS', 'IEA'], ['IDA', 'IEA'], ['IEA'], ['IDA', 'IEA'], ['IEA'], ['IEA'], ['HDA', 'TAS', 'IEA'], ['HDA', 'ISO', 'IEA'], ['IEA'], ['IEA'], ['IDA', 'IEA'], ['IDA', 'HDA', 'ISS', 'TAS', 'IEA'], ['IDA', 'ISO', 'IEA'], ['TAS'], ['IEA'], ['IEA'], ['ISO', 'IEA'], ['IEA']]"
GO:BP,GO:0009617,response to bacterium,1.511503455313518e-05,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from a bacterium."" [GOC:hb]",803,44,12,24936,0.2727272727272727,0.014943960149439602,query_1,['GO:0051707'],"['ENSMUSG00000040026', 'ENSMUSG00000016024', 'ENSMUSG00000031722', 'ENSMUSG00000030341', 'ENSMUSG00000074183', 'ENSMUSG00000074115', 'ENSMUSG00000026822', 'ENSMUSG00000004038', 'ENSMUSG00000000303', 'ENSMUSG00000037095', 'ENSMUSG00000053175', 'ENSMUSG00000037071']","[['IEP'], ['IMP', 'ISS', 'ISO', 'IEA'], ['IEP', 'IEA'], ['IMP'], ['IEP'], ['IEP'], ['IEP', 'ISS'], ['IEP'], ['IEA'], ['IEP'], ['IMP'], ['IMP', 'IEP']]"
GO:BP,GO:0051707,response to other organism,0.0004352606115834196,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from another living organism."" [GOC:ai]",1566,44,14,24936,0.3181818181818182,0.008939974457215836,query_1,"['GO:0043207', 'GO:0044419']","['ENSMUSG00000040026', 'ENSMUSG00000016024', 'ENSMUSG00000031722', 'ENSMUSG00000030341', 'ENSMUSG00000074183', 'ENSMUSG00000074115', 'ENSMUSG00000026822', 'ENSMUSG00000004038', 'ENSMUSG00000000303', 'ENSMUSG00000037095', 'ENSMUSG00000030111', 'ENSMUSG00000030895', 'ENSMUSG00000053175', 'ENSMUSG00000037071']","[['IEP'], ['IMP', 'ISS', 'ISO', 'IEA'], ['IEP', 'IEA'], ['IMP'], ['IEP'], ['IEP'], ['IDA', 'IMP', 'IEP', 'ISS', 'IEA'], ['IEP'], ['IEA'], ['IEP'], ['IEA'], ['IMP'], ['IMP', 'IEA'], ['IMP', 'IEP']]"
GO:BP,GO:0043207,response to external biotic stimulus,0.0004490249430110558,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external biotic stimulus, an external stimulus caused by, or produced by living things."" [GOC:go_curators]",1570,44,14,24936,0.3181818181818182,0.008917197452229299,query_1,"['GO:0009605', 'GO:0009607']","['ENSMUSG00000040026', 'ENSMUSG00000016024', 'ENSMUSG00000031722', 'ENSMUSG00000030341', 'ENSMUSG00000074183', 'ENSMUSG00000074115', 'ENSMUSG00000026822', 'ENSMUSG00000004038', 'ENSMUSG00000000303', 'ENSMUSG00000037095', 'ENSMUSG00000030111', 'ENSMUSG00000030895', 'ENSMUSG00000053175', 'ENSMUSG00000037071']","[['IEP'], ['IMP', 'ISS', 'ISO', 'IEA'], ['IEP', 'IEA'], ['IMP'], ['IEP'], ['IEP'], ['IDA', 'IMP', 'IEP', 'ISS', 'IEA'], ['IEP'], ['IEA'], ['IEP'], ['IEA'], ['IMP'], ['IMP', 'IEA'], ['IMP', 'IEP']]"
GO:BP,GO:0009607,response to biotic stimulus,0.0005918090145380752,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a biotic stimulus, a stimulus caused or produced by a living organism."" [GOC:hb]",1606,44,14,24936,0.3181818181818182,0.008717310087173101,query_1,['GO:0050896'],"['ENSMUSG00000040026', 'ENSMUSG00000016024', 'ENSMUSG00000031722', 'ENSMUSG00000030341', 'ENSMUSG00000074183', 'ENSMUSG00000074115', 'ENSMUSG00000026822', 'ENSMUSG00000004038', 'ENSMUSG00000000303', 'ENSMUSG00000037095', 'ENSMUSG00000030111', 'ENSMUSG00000030895', 'ENSMUSG00000053175', 'ENSMUSG00000037071']","[['IEP'], ['IMP', 'ISS', 'ISO', 'IEA'], ['IEP', 'IEA'], ['IMP'], ['IEP'], ['IEP'], ['IDA', 'IMP', 'IEP', 'ISS', 'IEA'], ['IEP'], ['IEA'], ['IEP'], ['IEA'], ['IMP'], ['IMP', 'IEA'], ['IMP', 'IEP']]"
GO:BP,GO:0044419,biological process involved in interspecies interaction between organisms,0.0010659542011106182,True,"""Any process evolved to enable an interaction with an organism of a different species."" [GOC:cc]",1686,44,14,24936,0.3181818181818182,0.00830367734282325,query_1,['GO:0008150'],"['ENSMUSG00000040026', 'ENSMUSG00000016024', 'ENSMUSG00000031722', 'ENSMUSG00000030341', 'ENSMUSG00000074183', 'ENSMUSG00000074115', 'ENSMUSG00000026822', 'ENSMUSG00000004038', 'ENSMUSG00000000303', 'ENSMUSG00000037095', 'ENSMUSG00000030111', 'ENSMUSG00000030895', 'ENSMUSG00000053175', 'ENSMUSG00000037071']","[['IEP'], ['IMP', 'ISS', 'ISO', 'IEA'], ['IEP', 'IEA'], ['IMP'], ['IEP'], ['IEP'], ['IDA', 'IMP', 'IEP', 'ISS', 'IEA'], ['IEP'], ['IEA'], ['IEP'], ['IEA'], ['IMP'], ['IMP', 'IEA'], ['IMP', 'IEP']]"
GO:BP,GO:0009605,response to external stimulus,0.0018550264162686704,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external stimulus."" [GOC:hb]",2346,44,16,24936,0.36363636363636365,0.0068201193520886615,query_1,['GO:0050896'],"['ENSMUSG00000020038', 'ENSMUSG00000040026', 'ENSMUSG00000016024', 'ENSMUSG00000031722', 'ENSMUSG00000030341', 'ENSMUSG00000074183', 'ENSMUSG00000074115', 'ENSMUSG00000026822', 'ENSMUSG00000004038', 'ENSMUSG00000000303', 'ENSMUSG00000037095', 'ENSMUSG00000030111', 'ENSMUSG00000034837', 'ENSMUSG00000030895', 'ENSMUSG00000053175', 'ENSMUSG00000037071']","[['IMP'], ['IDA', 'IEP', 'IEA'], ['IMP', 'ISS', 'ISO', 'IEA'], ['IEP', 'IEA'], ['IMP', 'IEA'], ['IEP'], ['IEP'], ['IDA', 'IMP', 'IEP', 'ISS', 'IEA'], ['IEP'], ['IEA'], ['IEP'], ['IEA'], ['IDA', 'IMP', 'IGI', 'IEA'], ['IMP'], ['IMP', 'IEA'], ['IMP', 'IEP']]"
