source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences
GO:CC,GO:0005737,cytoplasm,1.9091878730785665e-07,True,"""The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."" [ISBN:0198547684]",10727,87,65,25413,0.7471264367816092,0.006059476088375128,query_1,"['GO:0005622', 'GO:0110165']","['ENSMUSG00000026768', 'ENSMUSG00000036435', 'ENSMUSG00000072235', 'ENSMUSG00000039384', 'ENSMUSG00000021701', 'ENSMUSG00000033319', 'ENSMUSG00000003585', 'ENSMUSG00000036452', 'ENSMUSG00000026932', 'ENSMUSG00000029430', 'ENSMUSG00000029304', 'ENSMUSG00000048782', 'ENSMUSG00000062762', 'ENSMUSG00000060613', 'ENSMUSG00000027435', 'ENSMUSG00000041827', 'ENSMUSG00000041324', 'ENSMUSG00000024781', 'ENSMUSG00000032086', 'ENSMUSG00000057134', 'ENSMUSG00000004951', 'ENSMUSG00000039960', 'ENSMUSG00000068083', 'ENSMUSG00000024747', 'ENSMUSG00000070985', 'ENSMUSG00000013698', 'ENSMUSG00000032437', 'ENSMUSG00000001440', 'ENSMUSG00000031788', 'ENSMUSG00000001763', 'ENSMUSG00000004035', 'ENSMUSG00000035158', 'ENSMUSG00000029029', 'ENSMUSG00000020250', 'ENSMUSG00000071711', 'ENSMUSG00000031960', 'ENSMUSG00000030966', 'ENSMUSG00000028312', 'ENSMUSG00000047735', 'ENSMUSG00000029580', 'ENSMUSG00000042700', 'ENSMUSG00000006386', 'ENSMUSG00000033860', 'ENSMUSG00000027199', 'ENSMUSG00000006611', 'ENSMUSG00000038591', 'ENSMUSG00000030979', 'ENSMUSG00000031844', 'ENSMUSG00000040385', 'ENSMUSG00000025810', 'ENSMUSG00000032041', 'ENSMUSG00000047710', 'ENSMUSG00000051316', 'ENSMUSG00000001525', 'ENSMUSG00000030759', 'ENSMUSG00000111375', 'ENSMUSG00000031871', 'ENSMUSG00000036083', 'ENSMUSG00000046785', 'ENSMUSG00000031639', 'ENSMUSG00000038215', 'ENSMUSG00000058056', 'ENSMUSG00000045092', 'ENSMUSG00000045005', 'ENSMUSG00000009291']","[['IEA'], ['ISS', 'NAS', 'IEA'], ['IDA', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['ISS', 'IEA'], ['IEA'], ['IDA', 'IEA'], ['IDA', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IDA'], ['ISS', 'IEA'], ['IDA'], ['IDA', 'IMP', 'ISS', 'IEA'], ['IDA', 'ISS', 'IEA'], ['HDA'], ['IDA', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IDA', 'IEA'], ['IEA'], ['IEA'], ['IDA', 'NAS', 'IEA'], ['IDA', 'IEA'], ['IEA'], ['IEA'], ['ISS', 'IEA'], ['IEA'], ['IDA', 'HDA', 'IEA'], ['HDA', 'ISS', 'IEA'], ['ISS', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IDA', 'ISS', 'TAS', 'IEA'], ['IEA'], ['IDA', 'IEA'], ['IDA', 'IEA'], ['HDA', 'ISO', 'IEA'], ['IEA'], ['NAS', 'IEA'], ['IDA', 'HDA'], ['ISS', 'IEA'], ['IDA', 'IMP', 'ISS', 'IEA'], ['IDA', 'IEA'], ['IEA'], ['IEA'], ['IDA'], ['TAS', 'IEA'], ['IDA', 'ISS', 'IEA'], ['IDA', 'IMP', 'IEP', 'IEA'], ['IDA', 'IEA'], ['ISS', 'IEA'], ['IDA', 'IEA'], ['IEA'], ['IEA'], ['IDA', 'IEA'], ['IEA'], ['IDA', 'IEA'], ['IEA']]"
GO:BP,GO:0048583,regulation of response to stimulus,4.657119858087012e-06,True,"""Any process that modulates the frequency, rate or extent of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]",3487,81,33,24936,0.4074074074074074,0.00946372239747634,query_1,"['GO:0050789', 'GO:0050896']","['ENSMUSG00000026768', 'ENSMUSG00000019929', 'ENSMUSG00000028909', 'ENSMUSG00000039384', 'ENSMUSG00000026932', 'ENSMUSG00000053219', 'ENSMUSG00000062762', 'ENSMUSG00000041827', 'ENSMUSG00000041324', 'ENSMUSG00000024781', 'ENSMUSG00000032086', 'ENSMUSG00000004951', 'ENSMUSG00000013698', 'ENSMUSG00000031960', 'ENSMUSG00000030966', 'ENSMUSG00000029580', 'ENSMUSG00000042700', 'ENSMUSG00000039804', 'ENSMUSG00000006386', 'ENSMUSG00000033860', 'ENSMUSG00000006611', 'ENSMUSG00000038591', 'ENSMUSG00000040385', 'ENSMUSG00000025810', 'ENSMUSG00000032041', 'ENSMUSG00000051316', 'ENSMUSG00000032058', 'ENSMUSG00000031871', 'ENSMUSG00000020381', 'ENSMUSG00000031639', 'ENSMUSG00000045092', 'ENSMUSG00000045005', 'ENSMUSG00000009291']","[['IMP', 'IGI'], ['ISO', 'IEA'], ['IEA'], ['IMP', 'IEA'], ['IEA'], ['ISS'], ['IMP'], ['IEA'], ['ISS', 'IEA'], ['IMP'], ['IEA'], ['IDA', 'IEA'], ['IDA', 'IEA'], ['ISS', 'IEA'], ['IEA'], ['ISO', 'NAS', 'IEA'], ['IEA'], ['IMP'], ['IGI', 'ISS', 'TAS', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IMP'], ['IDA', 'IMP', 'IEA'], ['IEA'], ['NAS'], ['IEA'], ['IEA'], ['ISS', 'IEA'], ['IDA', 'IMP', 'IGI', 'ISO', 'IEA'], ['IEA'], ['IEA'], ['ISO']]"
GO:BP,GO:0048584,positive regulation of response to stimulus,4.854367563453344e-06,True,"""Any process that activates, maintains or increases the rate of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]",2034,81,25,24936,0.30864197530864196,0.012291052114060964,query_1,"['GO:0048518', 'GO:0048583', 'GO:0050896']","['ENSMUSG00000026768', 'ENSMUSG00000019929', 'ENSMUSG00000026932', 'ENSMUSG00000053219', 'ENSMUSG00000062762', 'ENSMUSG00000041827', 'ENSMUSG00000041324', 'ENSMUSG00000024781', 'ENSMUSG00000004951', 'ENSMUSG00000013698', 'ENSMUSG00000031960', 'ENSMUSG00000029580', 'ENSMUSG00000006386', 'ENSMUSG00000033860', 'ENSMUSG00000006611', 'ENSMUSG00000038591', 'ENSMUSG00000040385', 'ENSMUSG00000025810', 'ENSMUSG00000032041', 'ENSMUSG00000032058', 'ENSMUSG00000031871', 'ENSMUSG00000020381', 'ENSMUSG00000031639', 'ENSMUSG00000045092', 'ENSMUSG00000045005']","[['IMP', 'IGI'], ['ISO', 'IEA'], ['IEA'], ['ISS'], ['IMP'], ['IEA'], ['ISS', 'IEA'], ['IMP'], ['IEA'], ['IDA'], ['ISS', 'IEA'], ['ISO', 'NAS', 'IEA'], ['ISS', 'TAS', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IMP'], ['IMP', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['ISS', 'IEA'], ['IDA', 'IMP', 'IGI', 'ISO', 'IEA'], ['IEA'], ['IEA']]"
GO:BP,GO:0006915,apoptotic process,5.676336231813699e-05,True,"""A programmed cell death process which begins when a cell receives an internal (e.g. DNA damage) or external signal (e.g. an extracellular death ligand), and proceeds through a series of biochemical events (signaling pathway phase) which trigger an execution phase. The execution phase is the last step of an apoptotic process, and is typically characterized by rounding-up of the cell, retraction of pseudopodes, reduction of cellular volume (pyknosis), chromatin condensation, nuclear fragmentation (karyorrhexis), plasma membrane blebbing and fragmentation of the cell into apoptotic bodies. When the execution phase is completed, the cell has died."" [GOC:cjm, GOC:dhl, GOC:ecd, GOC:go_curators, GOC:mtg_apoptosis, GOC:tb, ISBN:0198506732, PMID:18846107, PMID:21494263]",1791,81,22,24936,0.2716049382716049,0.012283640424343942,query_1,['GO:0012501'],"['ENSMUSG00000072235', 'ENSMUSG00000021701', 'ENSMUSG00000026932', 'ENSMUSG00000029304', 'ENSMUSG00000062762', 'ENSMUSG00000041324', 'ENSMUSG00000024781', 'ENSMUSG00000032086', 'ENSMUSG00000004951', 'ENSMUSG00000013698', 'ENSMUSG00000035158', 'ENSMUSG00000031960', 'ENSMUSG00000029580', 'ENSMUSG00000006386', 'ENSMUSG00000033860', 'ENSMUSG00000040385', 'ENSMUSG00000025810', 'ENSMUSG00000032058', 'ENSMUSG00000031871', 'ENSMUSG00000031639', 'ENSMUSG00000045005', 'ENSMUSG00000009291']","[['IMP'], ['IMP'], ['IEA'], ['NAS'], ['IDA', 'IMP', 'IEA'], ['ISS', 'IEA'], ['IMP'], ['IEA'], ['IDA'], ['IDA', 'RCA', 'IEA'], ['IMP'], ['IMP'], ['NAS'], ['IMP', 'IGI'], ['IEA'], ['IMP'], ['IMP'], ['IEA'], ['IEA'], ['IEA'], ['IMP'], ['ISO']]"
GO:MF,GO:0005515,protein binding,7.750916839524017e-05,True,"""Binding to a protein."" [GOC:go_curators]",9549,86,59,23512,0.686046511627907,0.006178657451041994,query_1,['GO:0005488'],"['ENSMUSG00000019929', 'ENSMUSG00000028909', 'ENSMUSG00000072235', 'ENSMUSG00000039384', 'ENSMUSG00000021701', 'ENSMUSG00000033319', 'ENSMUSG00000036452', 'ENSMUSG00000026932', 'ENSMUSG00000029430', 'ENSMUSG00000029304', 'ENSMUSG00000048782', 'ENSMUSG00000053219', 'ENSMUSG00000062762', 'ENSMUSG00000061079', 'ENSMUSG00000027435', 'ENSMUSG00000041827', 'ENSMUSG00000041324', 'ENSMUSG00000032086', 'ENSMUSG00000057134', 'ENSMUSG00000004951', 'ENSMUSG00000024747', 'ENSMUSG00000013698', 'ENSMUSG00000001440', 'ENSMUSG00000031788', 'ENSMUSG00000001763', 'ENSMUSG00000004035', 'ENSMUSG00000035158', 'ENSMUSG00000029029', 'ENSMUSG00000020250', 'ENSMUSG00000071711', 'ENSMUSG00000031960', 'ENSMUSG00000033983', 'ENSMUSG00000030966', 'ENSMUSG00000028312', 'ENSMUSG00000047735', 'ENSMUSG00000026890', 'ENSMUSG00000029580', 'ENSMUSG00000042700', 'ENSMUSG00000006386', 'ENSMUSG00000033860', 'ENSMUSG00000006611', 'ENSMUSG00000040385', 'ENSMUSG00000025810', 'ENSMUSG00000032041', 'ENSMUSG00000051316', 'ENSMUSG00000001525', 'ENSMUSG00000020019', 'ENSMUSG00000066613', 'ENSMUSG00000111375', 'ENSMUSG00000032058', 'ENSMUSG00000031871', 'ENSMUSG00000046785', 'ENSMUSG00000031639', 'ENSMUSG00000038215', 'ENSMUSG00000044864', 'ENSMUSG00000058056', 'ENSMUSG00000045092', 'ENSMUSG00000045005', 'ENSMUSG00000009291']","[['IEA'], ['IPI', 'IEA'], ['IPI', 'IMP', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IPI', 'IEA'], ['IEA'], ['IPI'], ['IDA', 'IEA'], ['IEA'], ['IDA', 'IPI', 'IEA'], ['ISO'], ['IPI'], ['IEA'], ['IEA'], ['IPI', 'IEA'], ['IPI', 'IEA'], ['IPI'], ['IDA', 'ISS', 'IEA'], ['IEA'], ['TAS', 'IEA'], ['IDA', 'IPI', 'IEA'], ['IPI', 'IEA'], ['IPI', 'IEA'], ['IEA'], ['IPI', 'IEA'], ['IPI', 'IEA'], ['ISS', 'IEA'], ['IEA'], ['IPI'], ['IPI', 'IEA'], ['IEA'], ['IPI', 'IEA'], ['IEA'], ['IPI'], ['IPI', 'IEA'], ['IPI', 'IEA'], ['IPI', 'IEA'], ['IEA'], ['IPI', 'IEA'], ['IPI', 'IEA'], ['IPI', 'IEA'], ['IEA'], ['IPI', 'IEA'], ['IEA'], ['IDA', 'IPI', 'IEA'], ['IPI'], ['IEA'], ['IPI', 'IEA'], ['IDA', 'IPI', 'IEA'], ['IPI', 'IEA'], ['IPI', 'IEA'], ['ISS', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IPI', 'ISS', 'IEA'], ['ISO']]"
GO:BP,GO:0042981,regulation of apoptotic process,9.260151894261328e-05,True,"""Any process that modulates the occurrence or rate of cell death by apoptotic process."" [GOC:jl, GOC:mtg_apoptosis]",1371,81,19,24936,0.2345679012345679,0.013858497447118891,query_1,"['GO:0006915', 'GO:0043067']","['ENSMUSG00000021701', 'ENSMUSG00000026932', 'ENSMUSG00000029304', 'ENSMUSG00000062762', 'ENSMUSG00000041324', 'ENSMUSG00000032086', 'ENSMUSG00000004951', 'ENSMUSG00000013698', 'ENSMUSG00000035158', 'ENSMUSG00000031960', 'ENSMUSG00000029580', 'ENSMUSG00000006386', 'ENSMUSG00000033860', 'ENSMUSG00000040385', 'ENSMUSG00000025810', 'ENSMUSG00000032058', 'ENSMUSG00000031871', 'ENSMUSG00000031639', 'ENSMUSG00000009291']","[['IMP'], ['IEA'], ['NAS'], ['IMP'], ['ISS', 'IEA'], ['IEA'], ['IDA'], ['IDA', 'IEA'], ['IMP'], ['IMP'], ['NAS'], ['IMP', 'IGI'], ['IEA'], ['IMP'], ['IMP'], ['IEA'], ['IEA'], ['IEA'], ['ISO']]"
GO:BP,GO:0012501,programmed cell death,0.00010479368525617508,True,"""A process which begins when a cell receives an internal or external signal and activates a series of biochemical events (signaling pathway). The process ends with the death of the cell."" [GOC:lr, GOC:mtg_apoptosis]",1854,81,22,24936,0.2716049382716049,0.011866235167206042,query_1,['GO:0008219'],"['ENSMUSG00000072235', 'ENSMUSG00000021701', 'ENSMUSG00000026932', 'ENSMUSG00000029304', 'ENSMUSG00000062762', 'ENSMUSG00000041324', 'ENSMUSG00000024781', 'ENSMUSG00000032086', 'ENSMUSG00000004951', 'ENSMUSG00000013698', 'ENSMUSG00000035158', 'ENSMUSG00000031960', 'ENSMUSG00000029580', 'ENSMUSG00000006386', 'ENSMUSG00000033860', 'ENSMUSG00000040385', 'ENSMUSG00000025810', 'ENSMUSG00000032058', 'ENSMUSG00000031871', 'ENSMUSG00000031639', 'ENSMUSG00000045005', 'ENSMUSG00000009291']","[['IMP'], ['IMP'], ['IEA'], ['NAS'], ['IDA', 'IMP', 'IEA'], ['ISS', 'IEA'], ['IMP'], ['IEA'], ['IDA'], ['IDA', 'RCA', 'IEA'], ['IMP'], ['IMP'], ['NAS'], ['IMP', 'IGI'], ['IEA'], ['IMP'], ['IMP'], ['IEA'], ['IEA'], ['IEA'], ['IMP'], ['ISO']]"
GO:BP,GO:0008219,cell death,0.00010479368525617508,True,"""Any biological process that results in permanent cessation of all vital functions of a cell. A cell should be considered dead when any one of the following molecular or morphological criteria is met: (1) the cell has lost the integrity of its plasma membrane; (2) the cell, including its nucleus, has undergone complete fragmentation into discrete bodies (frequently referred to as apoptotic bodies). The cell corpse (or its fragments) may be engulfed by an adjacent cell in vivo, but engulfment of whole cells should not be considered a strict criteria to define cell death as, under some circumstances, live engulfed cells can be released from phagosomes (see PMID:18045538)."" [GOC:mah, GOC:mtg_apoptosis, PMID:25236395]",1854,81,22,24936,0.2716049382716049,0.011866235167206042,query_1,['GO:0009987'],"['ENSMUSG00000072235', 'ENSMUSG00000021701', 'ENSMUSG00000026932', 'ENSMUSG00000029304', 'ENSMUSG00000062762', 'ENSMUSG00000041324', 'ENSMUSG00000024781', 'ENSMUSG00000032086', 'ENSMUSG00000004951', 'ENSMUSG00000013698', 'ENSMUSG00000035158', 'ENSMUSG00000031960', 'ENSMUSG00000029580', 'ENSMUSG00000006386', 'ENSMUSG00000033860', 'ENSMUSG00000040385', 'ENSMUSG00000025810', 'ENSMUSG00000032058', 'ENSMUSG00000031871', 'ENSMUSG00000031639', 'ENSMUSG00000045005', 'ENSMUSG00000009291']","[['IMP'], ['IMP'], ['IEA'], ['NAS'], ['IDA', 'IMP', 'IEA'], ['ISS', 'IEA'], ['IMP'], ['IEA'], ['IDA'], ['IDA', 'RCA', 'IEA'], ['IMP'], ['IMP'], ['NAS'], ['IMP', 'IGI'], ['IEA'], ['IMP'], ['IMP'], ['IEA'], ['IEA'], ['IEA'], ['IMP'], ['ISO']]"
GO:BP,GO:0043067,regulation of programmed cell death,0.00015535658194421417,True,"""Any process that modulates the frequency, rate or extent of programmed cell death, cell death resulting from activation of endogenous cellular processes."" [GOC:jl]",1417,81,19,24936,0.2345679012345679,0.013408609738884969,query_1,"['GO:0012501', 'GO:0050794']","['ENSMUSG00000021701', 'ENSMUSG00000026932', 'ENSMUSG00000029304', 'ENSMUSG00000062762', 'ENSMUSG00000041324', 'ENSMUSG00000032086', 'ENSMUSG00000004951', 'ENSMUSG00000013698', 'ENSMUSG00000035158', 'ENSMUSG00000031960', 'ENSMUSG00000029580', 'ENSMUSG00000006386', 'ENSMUSG00000033860', 'ENSMUSG00000040385', 'ENSMUSG00000025810', 'ENSMUSG00000032058', 'ENSMUSG00000031871', 'ENSMUSG00000031639', 'ENSMUSG00000009291']","[['IMP'], ['IEA'], ['NAS'], ['IMP'], ['ISS', 'IEA'], ['IEA'], ['IDA'], ['IDA', 'IEA'], ['IMP'], ['IMP'], ['NAS'], ['IMP', 'IGI'], ['IEA'], ['IMP'], ['IMP'], ['IEA'], ['IEA'], ['IEA'], ['ISO']]"
GO:BP,GO:2001233,regulation of apoptotic signaling pathway,0.00038999081355311506,True,"""Any process that modulates the frequency, rate or extent of apoptotic signaling pathway."" [GOC:mtg_apoptosis]",358,81,10,24936,0.12345679012345678,0.027932960893854747,query_1,"['GO:0009966', 'GO:0042981', 'GO:0097190']","['ENSMUSG00000026932', 'ENSMUSG00000062762', 'ENSMUSG00000041324', 'ENSMUSG00000004951', 'ENSMUSG00000013698', 'ENSMUSG00000033860', 'ENSMUSG00000040385', 'ENSMUSG00000025810', 'ENSMUSG00000032058', 'ENSMUSG00000009291']","[['IEA'], ['IMP'], ['ISS', 'IEA'], ['IDA'], ['IDA', 'IEA'], ['IEA'], ['IMP'], ['IMP'], ['IEA'], ['ISO']]"
